,ID,city_name,Latitude,Longitude,Temp j0,Temp j+1,Temp j+2,Temp j+3,Temp j+4,Temp j+5,Temp j+6,Temp j+7,Alerte j0,Alerte j+1,Alerte j+2,Alerte j+3,Alerte j+4,Alerte j+5,Alerte j+6,Alerte j+7,Avg Temp,hotel_name,hotel_url,hotel_coord,hotel_score,hotel_text,hotel_lat,hotel_lon
10,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,Le petit cassis vue mer appartement 70m2,"https://www.booking.com/hotel/fr/le-petit-cassis-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1DrRfAf61&from=searchresults
;highlight_room=#hotelTmpl","['43.23284149169922', '5.541220188140869']","9,5","Situé à Cassis, Le petit cassis vue mer appartement 70m2 propose un hébergement indépendant avec une piscine extérieure.",43.23284149169922,5.541220188140869
11,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,Cassis Ma Vie Là,"https://www.booking.com/hotel/fr/cassis-ma-vie-la.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1R_lAQJnI&from=searchresults
;highlight_room=#hotelTmpl","['43.2168086', '5.5413447']","9,4","Installé à Cassis, à moins de 5 km du cap Canaille, le Cassis Ma Vie Là est un hébergement offrant une vue sur le jardin.",43.2168086,5.5413447
12,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,La douceur de Cassis,"https://www.booking.com/hotel/fr/la-douceur-de-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1cKWYXrYv&from=searchresults
;highlight_room=#hotelTmpl","['43.2149482', '5.5308259']","9,4","Situé à Cassis, à 200 mètres de Bestouan, l'établissement La douceur de Cassis propose un bar, une connexion Wi-Fi gratuite et une réception ouverte 24h/24.",43.2149482,5.5308259
13,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,CASSIS CENTER,"https://www.booking.com/hotel/fr/cassis-center.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1qlBLrqs6&from=searchresults
;highlight_room=#hotelTmpl","['43.2151009', '5.5420313']","9,4","Situé à Cassis, à moins de 1 km de Bestouan et à 5 km du cap Canaille, le CASSIS CENTER propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite.",43.2151009,5.5420313
14,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,Appart Port Cassis Village Parking,"https://www.booking.com/hotel/fr/appartement-port-rue-michel-arnaud.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1sn_PfwQS&from=searchresults
;highlight_room=#hotelTmpl","['43.214757', '5.5380065']","9,3","L'Appartement Port Cassis Village 6p. se situe à Cassis, à seulement 1 minute à pied du port, à 200 mètres de la plage et à 53 km d'Aix-en-Provence.",43.214757,5.5380065
15,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,Chez nous Cassis,"https://www.booking.com/hotel/fr/chez-nous-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1tPTBIf1i&from=searchresults
;highlight_room=#hotelTmpl","['43.226996', '5.5346055']","9,3","Situé à Cassis, en Provence-Alpes-Côte d'Azur, à proximité de Bestouan, l'établissement Chez nous Cassis propose un hébergement avec un parking privé gratuit.",43.226996,5.5346055
16,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,INDIGO,"https://www.booking.com/hotel/fr/indigo-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1iJE5az-0&from=searchresults
;highlight_room=#hotelTmpl","['43.2173779', '5.5376987']","9,3","Situé à Cassis, à moins de 1 km de Bestouan et à 5 km du cap Canaille, l'INDIGO propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi gratuite.",43.2173779,5.5376987
17,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,HPC Suites,"https://www.booking.com/hotel/fr/hpc-suites.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1WhyvL3xg&from=searchresults
;highlight_room=#hotelTmpl","['43.2166294', '5.5418636']","9,2","Offrant une vue sur la mer et installé au sein d'un parc de 4 000 m2 dans le centre de Cassis, le HPC Suites possède une piscine extérieure commune entourée d'une terrasse.",43.2166294,5.5418636
18,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,Villa W,"https://www.booking.com/hotel/fr/villa-w.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1Pzv0Qo38&from=searchresults
;highlight_room=#hotelTmpl","['43.2187773', '5.5334906']","9,2","Située à seulement 500 mètres du port de Cassis, la Villa W dispose d'une piscine, d'un spa, d'un sauna et d'une salle de remise en forme.",43.2187773,5.5334906
19,18,Cassis,43.2140359,5.5396317999999996,19.57,19.2,18.74,18.66,18.32,18.78,18.56,18.68,clear sky,scattered clouds,clear sky,few clouds,clear sky,broken clouds,few clouds,clear sky,18.81375,La Bulle,"https://www.booking.com/hotel/fr/la-bulle-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1niO75xNe&from=searchresults
;highlight_room=#hotelTmpl","['43.2151009', '5.5420313']",9,"Situé à Cassis, l'appartement 3 étoiles La Bulle vous accueille à 5 km du cap Canaille. Vous apprécierez la vue sur le jardin et la ville.",43.2151009,5.5420313
